Titular,URL,Premium
Sánchez se abre a prorrogar tres meses las ayudas a la gasolina y el resto de medidas por la guerra ,/espana/2022-05-31/sanchez-apunta-que-prorrogara-otros-tres-meses-los-6000-millones-de-ayudas-por-la-guerra-de-ucrania.html,False
La Unión Europea pacta un rearme conjunto ante la amenaza de Rusia,/internacional/2022-05-31/la-union-europea-pacta-un-rearme-conjunto-ante-la-amenaza-rusa.html,False
"El sexto golpe de las sanciones de la UE llega al petróleo, el corazón de las finanzas de Moscú",/internacional/2022-05-31/el-sexto-golpe-de-las-sanciones-de-la-ue-contra-rusia-llega-al-petroleo-el-corazon-de-las-finanzas-del-kremlin.html,True
Alcaraz gana el tercer ‘set’ del partido y recorta distancias ante Zverev (6-4; 6-4; 4-6) ,/deportes/2022-05-31/directo-zverev-alcaraz-en-cuartos-de-roland-garros.html,False
Nadal contra Djokovic y sus dinámicas invertidas en la gran noche de París,/deportes/2022-05-31/nadal-contra-djokovic-y-sus-dinamicas-invertidas-en-la-gran-noche-de-paris.html,False
No pensar en lo que no se puede controlar,/deportes/2022-05-31/no-pensar-en-lo-que-no-se-puede-controlar.html,True
Código de honor y barbarie ,https://elpais.com/opinion/editoriales/,False
Sumar gente o sumar partidos,/opinion/2022-05-31/sumar-gente-o-sumar-partidos.html,True
Hasta los dientes,/opinion/2022-05-31/hasta-los-dientes.html,True
"14 Champions, 140 leyes",/opinion/2022-05-31/14-champions-140-leyes.html,True
"Al PSOE le conviene un Vox fuerte, a España no",/opinion/2022-05-31/al-psoe-le-conviene-un-vox-fuerte-a-espana-no.html,True
Sciammarella,/opinion/2022-05-31/sciammarella.html,False
Los Premios Ortega y Gasset distinguen en Valencia a equipos de periodistas que desvelan los abusos de poder ,/sociedad/2022-05-31/los-premios-ortega-y-gasset-distinguen-en-valencia-a-equipos-de-periodistas-que-desvelan-los-abusos-de-poder.html?autoplay=1,False
Premio a la mejor investigación sobre la pederastia: “Nuestro pensamiento está con los que han sufrido”,/sociedad/2022-05-31/premiados-en-los-ortega-y-gasset-a-la-mejor-investigacion-periodistica-nuestro-pensamiento-esta-con-las-personas-que-han-sufrido-estos-horribles-crimenes.html,False
"Sáshenka Gutiérrez, mejor fotografía: “Supe que ese instante de amor era la foto”",/sociedad/2022-05-31/sashenka-gutierrez-premio-ortega-y-gasset-a-la-mejor-fotografia-supe-que-ese-instante-de-amor-era-la-foto.html?autoplay=1,False
"David Beriain y Roberto Fraile, premio a la mejor trayectoria",/sociedad/2022-05-31/david-beriain-y-roberto-fraile-el-periodismo-mas-honesto-y-necesario-gana-el-premio-ortega-y-gasset-a-la-mejor-trayectoria.html,False
Wilfredo Miranda y Carlos Herrera: “En Nicaragua el periodismo es un oficio de alto riesgo”,/sociedad/2022-05-31/wilfredo-miranda-y-carlos-herrera-premio-ortega-y-gasset-a-la-mejor-cobertura-multimedia-en-nicaragua-el-periodismo-es-un-oficio-de-alto-riesgo.html?autoplay=1,False
La Generalitat argumenta que no aplicará el 25% de castellano en la escuela por “imposibilidad legal”,/espana/catalunya/2022-05-31/la-generalitat-obvia-el-25-de-castellano-en-las-aulas-en-las-instrucciones-enviadas-a-los-directores.html,False
El Gobierno obligará a las empresas a no hacer esperar a sus clientes más de tres minutos al teléfono,/economia/2022-05-31/el-gobierno-obligara-a-las-empresas-a-no-hacer-esperar-a-sus-clientes-mas-de-tres-minutos-al-telefono.html,False
La ‘policía patriótica’ quiso borrar pruebas de la investigación a jueces favorables a la consulta del 9-N,/espana/2022-05-31/la-policia-patriotica-quiso-borrar-pruebas-de-la-investigacion-a-jueces-favorables-a-la-consulta-del-9-n.html,True
El PP deja a Ayuso en un segundo plano en la campaña andaluza para mirar al centro,https://elpais.com/espana/elecciones-andalucia/,True
"Clotilde Vázquez: “La percepción de la menopausia es errónea, llena de desconocimientos y mitos”",/salud-y-bienestar/2022-05-31/clotilde-vazquez-la-percepcion-de-la-menopausia-es-erronea-llena-de-desconocimientos-mitos-y-descalificaciones.html,False
